3-1-1,Noise Survey,16301
3-1-1,Agency Issues,2645
3-1-1,City Vehicle Placard Complaint,1970
3-1-1,OEM Disabled Vehicle,1872
3-1-1,Benefit Card Replacement,3
3-1-1,Illegal Parking,2
3-1-1,Noise - Helicopter,1
ACS,Agency Issues,5
ACS,Damaged Tree,1
AJC,Misc. Comments,6
AJC,Complaint,1
AJC,Invitation,1
CAU,Complaint,3
CAU,Compliment,2
CAU,Misc. Comments,2
CAU,Agency Issues,1
CCRB,Compliment,8
CCRB,Invitation,1
CCRB,Agency Issues,1
CHALL,Opinion for the Mayor,17329
CHALL,Agency Issues,1034
COIB,Complaint,10
COIB,Invitation,8
COIB,Misc. Comments,3
COIB,Compliment,1
CWI,Invitation,3
CWI,Complaint,1
DCA,Consumer Complaint,105442
DCA,DCA / DOH New License Application Request,20650
DCA,DCA Literature Request,2085
DCA,Invitation,5
DCA,Compliment,2
DCA,Agency Issues,1
DCAS,Invitation,7
DCAS,Agency Issues,1
DCLA,Complaint,8
DCLA,Compliment,1
DCP,Research Questions,1
DCP,Misc. Comments,1
DCP,Compliment,1
DEP,Water System,371104
DEP,Noise,244845
DEP,Sewer,227942
DEP,Air Quality,42769
DEP,Lead,24583
DEP,Water Conservation,22818
DEP,Hazardous Materials,15354
DEP,Industrial Waste,9526
DEP,Asbestos,9047
DEP,Water Quality,6451
DEP,Plant,1979
DEP,DEP Literature Request,219
DEP,DCA Literature Request,16
DEP,Traffic Signal Condition,16
DEP,Misc. Comments,10
DEP,Complaint,9
DEP,SRDE,8
DEP,Compliment,7
DEP,Invitation,6
DEP,Animal in a Park,5
DEP,Agency Issues,4
DEP,SG-98,3
DEP,SG-99,1
DEP,Maintenance or Facility,1
DEP,Standing Water,1
DEP,X-Ray Machine/Equipment,1
DEP,Illegal Animal Sold,1
DESIGNCOM,Invitation,2
DESIGNCOM,Misc. Comments,1
DFTA,Senior Center Complaint,1889
DFTA,Legal Services Provider Complaint,138
DFTA,Transportation Provider Complaint,112
DFTA,DFTA Literature Request,107
DFTA,Complaint,5
DFTA,Agency Issues,5
DFTA,Compliment,4
DFTA,SCRIE,1
DFTA,Misc. Comments,1
DHS,Homeless Person Assistance,9355
DHS,DHS Income Savings Requirement,154
DHS,Agency Issues,93
DOB,General Construction/Plumbing,180130
DOB,Building/Use,161135
DOB,Elevator,49809
DOB,Special Enforcement,33417
DOB,Construction,28307
DOB,Plumbing,23632
DOB,Electrical,21526
DOB,Special Projects Inspection Team (SPIT),19820
DOB,Boilers,10661
DOB,Investigations and Discipline (IAD),6979
DOB,BEST/Site Safety,5231
DOB,Emergency Response Team (ERT),2846
DOB,Cranes and Derricks,2002
DOB,Scaffold Safety,1493
DOB,Miscellaneous Categories,922
DOB,Stalled Sites,705
DOB,Special Natural Area District (SNAD),399
DOB,Forensic Engineering,333
DOB,Maintenance or Facility,15
DOB,Illegal Animal Sold,5
DOB,Interior Demo,4
DOB,Food Establishment,2
DOB,Agency Issues,1
DOB,DOF Literature Request,1
DOB,Home Care Provider Complaint,1
DOB,Traffic Signal Condition,1
DOB,Animal in a Park,1
DOB,Unspecified,1
DOC,Compliment,6
DOC,Agency Issues,2
DOE,School Maintenance,9915
DOE,Safety,585
DOE,DOE Complaint or Compliment,523
DOE,Teaching/Learning/Instruction,420
DOE,Discipline and Suspension,385
DOE,Registration and Transfers,190
DOE,Health,164
DOE,Parent Leadership,64
DOE,No Child Left Behind,23
DOF,DOF Literature Request,130275
DOF,SCRIE,19062
DOF,DOF Property - Reduction Issue,3455
DOF,DOF Parking - Tax Exemption,3227
DOF,DOF Property - Payment Issue,770
DOF,DOF Property - Update Account,479
DOF,DOF Parking - Payment Issue,204
DOF,DOF Property - City Rebate,16
DOF,Advocate-Personal Exemptions,13
DOF,DOF Property - RPIE Issue,13
DOF,Advocate-SCRIE/DRIE,10
DOF,Taxpayer Advocate Inquiry,7
DOF,Advocate - Other,6
DOF,Invitation,4
DOF,Advocate-Prop Refunds/Credits,2
DOF,DOF Parking - Request Status,1
DOF,Agency Issues,1
DOF,Advocate-Prop Class Incorrect,1
DOF,Advocate-Commercial Exemptions,1
DOF,Advocate - RPIE,1
DOF,For Hire Vehicle Complaint,1
DOHMH,Rodent,141809
DOHMH,Food Establishment,43646
DOHMH,Indoor Air Quality,27886
DOHMH,Food Poisoning,17346
DOHMH,Unsanitary Animal Pvt Property,13687
DOHMH,Smoking,10562
DOHMH,Standing Water,8342
DOHMH,Non-Residential Heat,7495
DOHMH,Indoor Sewage,5262
DOHMH,Unleashed Dog,4721
DOHMH,Unsanitary Pigeon Condition,3778
DOHMH,Asbestos,3117
DOHMH,Window Guard,2584
DOHMH,Mold,1878
DOHMH,Illegal Animal Kept as Pet,1463
DOHMH,Beach/Pool/Sauna Complaint,1056
DOHMH,Harboring Bees/Wasps,1047
DOHMH,Poison Ivy,681
DOHMH,Drinking Water,594
DOHMH,Tattooing,580
DOHMH,Vector,573
DOHMH,Unsanitary Animal Facility,551
DOHMH,Animal Facility - No Permit,434
DOHMH,Summer Camp,324
DOHMH,Agency Issues,278
DOHMH,Illegal Animal Sold,249
DOHMH,Calorie Labeling,103
DOHMH,Bottled Water,90
DOHMH,Lifeguard,83
DOHMH,X-Ray Machine/Equipment,74
DOHMH,Request for Information,64
DOHMH,Radioactive Material,53
DOHMH,Complaint,50
DOHMH,Day Care,36
DOHMH,Misc. Comments,29
DOHMH,Trans Fat,22
DOHMH,Compliment,14
DOHMH,Portable Toilet,13
DOHMH,Tanning,9
DOHMH,Invitation,5
DOHMH,Animal in a Park,1
DOHMH,DOF Literature Request,1
DOHMH,Trapping Pigeon,1
DOHMH,Unspecified,1
DOHMH,DPR Internal,1
DOHMH,Unlicensed Dog,1
DOITT,Public Payphone Complaint,4839
DOITT,Invitation,6
DOITT,Agency Issues,1
DOP,Request for Information,92
DOP,Complaint,37
DOP,Misc. Comments,26
DOP,Compliment,8
DOP,Invitation,8
DOP,Agency Issues,4
DORIS,Agency Issues,1
DOT,Street Light Condition,599408
DOT,Street Condition,590447
DOT,Traffic Signal Condition,278978
DOT,Broken Muni Meter,138992
DOT,Sidewalk Condition,39154
DOT,Street Sign - Damaged,37975
DOT,Highway Condition,28428
DOT,Street Sign - Missing,23142
DOT,Broken Parking Meter,15654
DOT,Street Sign - Dangling,9810
DOT,DOT Literature Request,9137
DOT,Curb Condition,3897
DOT,Bridge Condition,3893
DOT,Ferry Inquiry,3044
DOT,Bus Stop Shelter Placement,1517
DOT,Ferry Complaint,1342
DOT,Agency Issues,693
DOT,Bike Rack Condition,685
DOT,Municipal Parking Facility,486
DOT,Highway Sign - Damaged,392
DOT,Parking Card,344
DOT,Public Toilet,274
DOT,Ferry Permit,212
DOT,Highway Sign - Missing,197
DOT,Highway Sign - Dangling,77
DOT,Invitation,68
DOT,Tunnel Condition,56
DOT,Compliment,48
DOT,Forms,24
DOT,Building Condition,18
DOT,Misc. Comments,9
DOT,Opinion for the Mayor,6
DOT,SNW,1
DOT,Food Establishment,1
DOT,Maintenance or Facility,1
DPR,Damaged Tree,177378
DPR,Overgrown Tree/Branches,87905
DPR,Dead Tree,57217
DPR,Maintenance or Facility,57154
DPR,Root/Sewer/Sidewalk Condition,55911
DPR,Illegal Tree Damage,12178
DPR,Violation of Park Rules,9984
DPR,Animal in a Park,9872
DPR,DPR Internal,3326
DPR,Agency Issues,1813
DPR,DPR Literature Request,284
DPR,School Maintenance,1
DPR,Forms,1
DSNY,Dirty Conditions,207046
DSNY,Sanitation Condition,162288
DSNY,Missed Collection (All Materials),112946
DSNY,Graffiti,94608
DSNY,Derelict Vehicles,75670
DSNY,Snow,55011
DSNY,Other Enforcement,31020
DSNY,Litter Basket / Request,16307
DSNY,Vacant Lot,12855
DSNY,Overflowing Litter Baskets,7904
DSNY,Recycling Enforcement,5844
DSNY,Sweeping/Missed-Inadequate,5733
DSNY,Derelict Bicycle,4594
DSNY,Sweeping/Missed,2935
DSNY,Agency Issues,1143
DSNY,Collection Truck Noise,967
DSNY,Sweeping/Inadequate,908
DSNY,Request Xmas Tree Collection,675
DSNY,Complaint,265
DSNY,Adopt-A-Basket,250
DSNY,Request for Information,121
DSNY,Literature Request,94
DSNY,Overflowing Recycling Baskets,93
DSNY,Compliment,34
DSNY,Misc. Comments,33
DSNY,Foam Ban Enforcement,16
DSNY,Forms,12
DSNY,Invitation,7
DSNY,Standpipe - Mechanical,6
DV,Compliment,1
DV,Misc. Comments,1
DV,Complaint,1
DYCD,Compliment,3
DYCD,Invitation,2
DYCD,Agency Issues,1
DYCD,Misc. Comments,1
EDC,Noise - Helicopter,6049
EDC,Agency Issues,2
EMTF,Invitation,2
EMTF,Compliment,1
EMTF,Misc. Comments,1
FDNY,Fire Safety Director - F58,19649
FDNY,EAP Inspection - F59,5482
FDNY,Fire Alarm - Reinspection,1439
FDNY,Fire Alarm - New System,729
FDNY,Fire Alarm - Modification,560
FDNY,Request for Information,451
FDNY,Compliment,418
FDNY,Complaint,374
FDNY,Public Assembly,157
FDNY,Open Flame Permit,141
FDNY,Agency Issues,133
FDNY,Misc. Comments,123
FDNY,Fire Alarm - Addition,98
FDNY,Invitation,66
FDNY,Fire Alarm - Replacement,66
FDNY,Sprinkler - Mechanical,41
FDNY,Hazmat Storage/Use,26
FDNY,Rangehood,22
FDNY,Standpipe - Mechanical,18
FDNY,Public Assembly - Temporary,16
FDNY,Gas Station Discharge Lines,2
FDNY,Micro Switch,1
FDNY,Laboratory,1
FUND,Complaint,12
HPD,HEATING,887869
HPD,PLUMBING,519111
HPD,GENERAL CONSTRUCTION,500867
HPD,HEAT/HOT WATER,374735
HPD,PAINT - PLASTER,361258
HPD,NONCONST,260890
HPD,ELECTRIC,208603
HPD,UNSANITARY CONDITION,146745
HPD,PAINT/PLASTER,135774
HPD,DOOR/WINDOW,70106
HPD,WATER LEAK,65390
HPD,APPLIANCE,62025
HPD,GENERAL,55032
HPD,FLOORING/STAIRS,49585
HPD,SAFETY,17601
HPD,HPD Literature Request,11635
HPD,CONSTRUCTION,5078
HPD,OUTSIDE BUILDING,3123
HPD,ELEVATOR,1833
HPD,STRUCTURAL,16
HPD,VACANT APARTMENT,4
HPD,AGENCY,3
HPD,Agency Issues,1
HRA,Benefit Card Replacement,54275
HRA,Agency Issues,4564
HRA,Request for Information,1334
IA,Complaint,5
IA,Misc. Comments,1
LAW,Invitation,10
LOFT,Complaint,1
LOFT,Misc. Comments,1
LPC,Compliment,1
MOC,Complaint,5
MOC,Invitation,3
MOC,Misc. Comments,1
MOFTB,Misc. Comments,8
MOFTB,Invitation,3
MOFTB,Complaint,1
MOFTB,Agency Issues,1
MOIA,Request for Information,12
MOIA,Invitation,4
MOIA,Misc. Comments,3
MOIA,Complaint,3
MOIA,Agency Issues,3
MOIA,Compliment,1
MOPD,Compliment,6
MOPD,Agency Issues,1
MOVA,Request for Information,9
MOVA,Misc. Comments,5
MOVA,Agency Issues,1
MOVA,Complaint,1
NYCEM,OEM Literature Request,992
NYCEM,Compliment,3
NYCEM,Invitation,2
NYCEM,Agency Issues,1
NYCERS,Invitation,2
NYCERS,Compliment,1
NYCHA,Agency Issues,6
NYCHA,Invitation,3
NYCOOA,Complaint,7
NYCOOA,Compliment,1
NYCOOA,Invitation,1
NYCPPF,Invitation,4
NYCPPF,Complaint,4
NYCSERVICE,Agency Issues,3
NYPD,Blocked Driveway,393518
NYPD,Illegal Parking,288609
NYPD,Noise - Commercial,168958
NYPD,Noise - Street/Sidewalk,167302
NYPD,Derelict Vehicle,87123
NYPD,Noise - Vehicle,87091
NYPD,Vending,22942
NYPD,Animal Abuse,20789
NYPD,Traffic,19850
NYPD,Noise - Park,18377
NYPD,Homeless Encampment,16293
NYPD,Drinking,7640
NYPD,Noise - House of Worship,6376
NYPD,Disorderly Youth,4098
NYPD,Bike/Roller/Skate Chronic,2622
NYPD,Urinating in Public,2546
NYPD,Posting Advertisement,1698
NYPD,Graffiti,1392
NYPD,Illegal Fireworks,1228
NYPD,Panhandling,1074
NYPD,Squeegee,30
NYPD,Agency Issues,8
NYPD,Noise Survey,2
NYPD,Ferry Complaint,2
NYPD,Animal in a Park,1
OAE,Comment,3
OAE,Compliment,2
OATH,Request for Information,254
OATH,Misc. Comments,17
OATH,Compliment,8
OATH,Complaint,5
OATH,Invitation,4
OATH,Agency Issues,2
OCHIA,Complaint,3
OCHIA,Misc. Comments,2
OCHIA,Compliment,1
OCME,Misc. Comments,4
OCME,Agency Issues,2
OCME,Invitation,2
OMB,Agency Issues,1
OPA,Invitation,3
OPA,Compliment,1
OPS,Agency Issues,1245
OPS,Complaint,32
OPS,Invitation,7
OPS,Misc. Comments,4
OPS,Compliment,2
OPS,Request for Information,2
OPS,Opinion for the Mayor,1
SBS,Invitation,2
SBS,Compliment,1
SBS,Agency Issues,1
TFA,Request for Information,1
TLC,Taxi Complaint,112344
TLC,For Hire Vehicle Complaint,17488
TLC,Taxi Compliment,4309
TLC,Taxi Report,3764
TLC,Found Property,2709
TLC,For Hire Vehicle Report,455
TLC,Agency Issues,67
TLC,Lost Property,7
VAC,Request for Information,3
VAC,Complaint,1
WF1,Request for Information,2
WF1,Misc. Comments,1
