HPD,0.3545591254
DOT,0.1696678886
NYPD,0.1251885676
DEP,0.0926627777
DSNY,0.0758382950
DOB,0.0521200256
DPR,0.0448761656
DOHMH,0.0285175935
DOF,0.0149467998
TLC,0.0133903494
DCA,0.0121610136
HRA,0.0057086607
FDNY,0.0028473573
3-1-1,0.0021624850
CHALL,0.0017421125
DOE,0.0011639699
DHS,0.0009109494
EDC,0.0005740632
DOITT,0.0004597439
DFTA,0.0002145978
OPS,0.0001226679
NYCEM,0.0000946811
OATH,0.0000275125
DOP,0.0000166024
MOIA,0.0000024666
COIB,0.0000020872
MOVA,0.0000015179
MOFTB,0.0000012333
FUND,0.0000011384
CCRB,0.0000009487
LAW,0.0000009487
DCLA,0.0000008538
MOC,0.0000008538
NYCHA,0.0000008538
NYCOOA,0.0000008538
AJC,0.0000007590
CAU,0.0000007590
DCAS,0.0000007590
DOC,0.0000007590
NYCPPF,0.0000007590
OCME,0.0000007590
DYCD,0.0000006641
MOPD,0.0000006641
ACS,0.0000005692
IA,0.0000005692
OCHIA,0.0000005692
OAE,0.0000004744
CWI,0.0000003795
EMTF,0.0000003795
OPA,0.0000003795
SBS,0.0000003795
VAC,0.0000003795
DCP,0.0000002846
DESIGNCOM,0.0000002846
DV,0.0000002846
NYCERS,0.0000002846
NYCSERVICE,0.0000002846
WF1,0.0000002846
LOFT,0.0000001897
DORIS,0.0000000949
LPC,0.0000000949
OMB,0.0000000949
TFA,0.0000000949
total,1.0000000000
